scratch.py , True, 1638396895.988984 , error_code: 0 
scratch.py , False, 1638396961.147087 , error_code: 0 
scratch.py , False, 1638396984.76865 , error_code: 0 
scratch.py , False, 1638397209.9749079 , error_code: 0 
scratch.py , True, 1638397452.29707 , error_code: 0 
scratch.py , False, 1638397472.845398 , error_code: 0 
scratch.py , True, 1638397571.383903 , error_code: 1 
scratch.py , True, 1638397614.6470652 , error_code: 0 
scratch.py , False, 1638397645.899462 , error_code: 0 
scratch.py , True, 1638397665.0026171 , error_code: 0 
scratch.py , True, 1638398014.651957 , error_code: 0 
scratch.py , True, 1638398307.772793 , error_code: 0 
scratch.py , False, 1638399057.281667 , error_code: 0 
scratch.py , True, 1638399093.370102 , error_code: 0 
scratch.py , True, 1638399112.986733 , error_code: 0 
scratch.py , False, 1638399246.2955809 , error_code: 0 
scratch.py , True, 1638404793.3351302 , error_code: 1 
scratch.py , True, 1638404955.274184 , error_code: 0 
scratch.py , True, 1638405023.583796 , error_code: 1 
scratch.py , True, 1638405061.632093 , error_code: 0 
scratch.py , False, 1638405251.079255 , error_code: 0 
scratch.py , False, 1638405277.354322 , error_code: 0 
scratch.py , True, 1638405440.400939 , error_code: 1 
scratch.py , True, 1638405485.954116 , error_code: 0 
scratch.py , False, 1638409438.2126238 , error_code: 0 
scratch.py , False, 1638409476.486486 , error_code: 0 
scratch.py , False, 1638409503.985707 , error_code: 0 
scratch.py , False, 1638409688.852623 , error_code: 0 
plot_4.py , False, 1638409833.523941 , error_code: 0 
plot_4.py , True, 1638409870.889528 , error_code: 0 
plot_4.py , True, 1638410075.530327 , error_code: 0 
plot_4.py , True, 1638410620.246685 , error_code: 0 
load.py , False, 1638410677.734163 , error_code: 0 
plot_4.py , False, 1638410689.03108 , error_code: 0 
load.py , True, 1638410850.148201 , error_code: 0 
load.py , True, 1638410889.1777081 , error_code: 0 
plot_4.py , False, 1638410928.2955399 , error_code: 0 
plot_4.py , True, 1638410966.434229 , error_code: 0 
plot_2.py , True, 1638411075.2971468 , error_code: 1 
plot_2.py , True, 1638411126.980673 , error_code: 0 
plot_3.py , False, 1638411160.952828 , error_code: 0 
scratch.py , False, 1638411228.174711 , error_code: 0 
scratch.py , True, 1638411334.8225868 , error_code: 0 
